"key","message","comment","context"
"Address",,,
"Amount",,,
"Amount Collected",,,
"Before Days",,,
"Capacity",,,
"City",,,
"Country",,,
"Description",,,
"Discount",,,
"Discount Amount",,,
"Discount Percent",,,
"Discounts",,,
"Email",,,
"Email Sent",,,
"Emails sent successfully",,,
"End Date",,,
"Error in sending an email to the following targets",,,
"Error in sending emails",,,
"Event",,,
"Event Application",,,
"Event Fees",,,
"Event OverView",,,
"Event Registration",,,
"Event Registrations",,,
"Event.amountCollected",,,
"Event.capacity",,,
"Event.endDateT",,,
"Event.eventFees",,,
"Event.reference",,,
"Event.registrationCloseDate",,,
"Event.registrationOpenDate",,,
"Event.startDateT",,,
"Event.totalDiscount",,,
"Event.totalEntry",,,
"EventRegistration.amount",,,
"EventRegistration.email",,,
"EventRegistration.registrationDateT",,,
"Exceed duration between open and close registration dates",,,
"Flat/House No.",,,
"FullName",,,
"Import",,,
"Import Registration",,,
"Import completed successfully",,,
"Invalid data format. Please select csv file only.",,,
"LandMark",,,
"Name",,,
"OverView",,,
"Overview",,,
"Reference",,,
"Registration",,,
"Registration Close",,,
"Registration Exceeds Capacity",,,
"Registration Open",,,
"Registration Open date must be before event start date",,,
"Registration Open date should not be ahead of Registration Close Date",,,
"Registration close date must be before event start date",,,
"Registration date should be between open and close registration dates",,,
"Send Email",,,
"Start Date",,,
"Street",,,
"Total Discount",,,
"Total Entry",,,
"Venue",,,
"event Registration Popup",,,
"print Event",,,
"start date should not be ahead of End Date",,,
"whatever@example.com",,,
